grdc_no,wmo_reg,sub_reg,river,station,country,lat,long,area,altitude,d_start,d_end,d_yrs,d_miss,m_start,m_end,m_yrs,m_miss,t_start,t_end,t_yrs,lta_discharge,r_volume_yr,r_height_yr
4101200,4,1,WULIK RIVER,"BELOW TUTAK CREEK NEAR KIVALINA, AK",US,67.8754,-163.6774,1825.9,53.34,1984,2019,36,0,,,,,1984,2019,36,27.923,0.880579728,482.2716074
4101250,4,1,WULIK RIVER,"ABOVE FERRIC CREEK NEARR KIVALINA, AK",US,68.07,-163.19,494.6,152,2000,2003,4,0,,,,,2000,2003,4,8.447,0.266384592,538.5859118
4101300,4,1,HULAHULA RIVER,"NEAR KAKTOVIK, AK",US,69.7114,-144.1906,1771.6,-999,2010,2018,9,0,,,,,2010,2018,9,16.422,0.517884192,292.3256898
4101400,4,1,KUPARUK RIVER,"NEAR DEADHORSE, AK",US,70.2814,-148.9628,8106.7,-999,1971,2019,49,0.005710044,1971,2001,31,37.26027397,1971,2019,49,42.443,1.338482448,165.1081757
4101450,4,1,SAGAVANIRKTOK RIVER,"NEAR SAGWON, ALAS.",US,69.0897,-148.7623,5718.7,304.8,1970,1978,9,0,1970,1978,9,6.12244898,1970,1978,9,47.374,1.493986464,261.2458188
4101451,4,1,SAGAVANIRKTOK RIVER,NEAR PUMP STATION 3,US,69.01,-148.82,4817,350.52,1982,2019,38,0,,,,,1982,2019,38,47.305,1.49181048,309.6970064
4101455,4,1,PUTULIGAYUK RIVER,"NEAR DEADHORSE, AK",US,70.26,-148.63,455.8,-999,1970,1986,17,12.20813876,,,,,1970,1986,17,1.195,0.03768552,82.67994735
4101460,4,1,ATIGUN RIVER,"BELOW GALBRAITH LAKE NEAR PUMP STATION 4, AK",US,68.4524,-149.3711,769.2,808,2010,2017,8,0,,,,,2010,2017,8,9.035,0.28492776,370.4209048
4101500,4,1,COLVILLE RIVER,NEAR NUIQSUT ALAS.,US,70.1652,-150.9198,53535.3,3.048,1977,1977,1,0,1977,1977,1,0,1977,1977,1,n.a.,n.a.,n.a.
4101501,4,1,COLVILLE RIVER,"UMIAT, AK",US,69.36,-152.12,35820,83.82,2002,2019,18,0,,,,,2002,2019,18,289.395,9.12636072,254.7839397
4101550,4,1,JUDY CREEK,NEAR NUIQSUT AK,US,70.22,-151.83,1655,8,2004,2009,6,0,,,,,2004,2009,6,3.725,0.1174716,70.97981873
4101560,4,1,FISH CREEK,"NEAR NUIQSUT, AK",US,70.27,-151.87,2038.3,15,2004,2009,6,0,,,,,2004,2009,6,4.808,0.151625088,74.38801354
4101600,4,1,IKPIKPUK RIVER,"BELOW FRY CREEK NEAR ALAKTAK, AK",US,69.76,-154.66,4395.2,30,2004,2009,6,0,,,,,2004,2009,6,17.61,0.55534896,126.3535129
4101700,4,1,MEADE RIVER,"ATKASUK, AK",US,70.4954,-157.3958,4617.9,8,1977,2018,42,68.27341501,,,,,1977,2018,42,19.577,0.617380272,133.692863
4101800,4,1,NOATAK RIVER,NOATAK,US,67.571,-162.9468,31080,15.24,1965,1971,7,45.91700134,1965,1971,7,50,1965,1971,7,320.854,10.11845174,325.5615104
4101900,4,1,KOBUK RIVER,"NEAR KIANA, ALAS.",US,66.973,-160.1336,24656.8,10.668,1976,2019,44,13.48350661,1976,2001,26,0,1976,2019,44,424.938,13.40084477,543.4948886
4101901,4,1,KOBUK RIVER,"AMBLER, ALAS.",US,67.0864,-157.8503,17016.3,9.144,1965,1978,14,0,1965,1978,14,0,1965,1978,14,251.268,7.923987648,465.6704247
4102050,4,2,ALSEK RIVER,NEAR YAKUTAT,US,59.3947,-138.0837,28023.8,76.2,1991,2012,22,0.012774655,1991,2001,11,0,1991,2012,22,887.799,27.99762926,999.0661247
