"grdc_no","wmo_reg","sub_reg","river","station","country","latitude","longitude","area","altitude","d_start","d_end","d_yrs","d_miss","m_start","m_end","m_yrs","m_miss","t_start","t_end","t_yrs","lta_discharge","r_volume_yr","r_height_yr"
"1104150","1","4","CHELIF, OUED","SIDI BELATAR","DZ","36.02","0.27","43750","2","1978","2001","24","58.35019641","1976","1977","2","0","1976","2001","26","15.027","0.473891472","10.83180507"
"1104200","1","4","MINA, OUED","OUED EL-ABTAL","DZ","35.5","0.68","6635","205","","","","","1976","1978","3","0","1976","1978","3","2.578","0.081299808","12.25317378"
"1104300","1","4","GHIOU, OUED","AMMI MOUSSA","DZ","35.87","1.12","2398","140","","","","","1976","1979","4","0","1976","1979","4","3.195","0.10075752","42.01731443"
"1104450","1","4","MAZAFRAN, OUED","FER A CHEVAL","DZ","36.67","2.82","1912","10","1979","1995","17","0.034223135","1976","1978","3","0","1976","1995","20","3.379","0.106560144","55.73229289"
"1104480","1","4","BOU DOUAOU, OUED","KEDDARA","DZ","36.65","3.42","829","60","","","","","1976","1979","4","0","1976","1979","4","0.354","0.011163744","13.4665187"
"1104500","1","4","ISSER, OUED","LAKHDARIA","DZ","36.62","3.58","4149","90","","","","","1976","1979","4","0","1976","1979","4","6.387","0.201420432","48.54674187"
"1104530","1","4","SEBAOU, OUED","BAGHLIA","DZ","36.8","3.87","2501","20","","","","","1976","1979","4","0","1976","1979","4","17.581","0.554434416","221.6850924"
"1104600","1","4","BOU SELLAM, OUED","SIDI YAHIA","DZ","36.42","4.6","4309","220","1988","1997","10","0","1976","1978","3","0","1976","1997","22","3.005","0.09476568","21.99249942"
"1104700","1","4","RHUMEL, OUED","OUED ATHMANIA","DZ","36.23","6.3","1220","710","","","","","1976","1978","3","0","1976","1978","3","0.085","0.00268056","2.197180328"
"1104800","1","4","MELAH, OUED EL","BOUCHEGOUF","DZ","36.45","7.72","552","95","1978","2003","26","8.016646589","1976","1977","2","0","1976","2003","28","2.881","0.090855216","164.5927826"
"1107700","1","7","TAFNA, OUED","PIERRE DU CHAT","DZ","35.15","-1.45","7245","60","1979","2001","23","1.854156297","1976","1979","4","16.66666667","1976","2001","26","2.567","0.080952912","11.17362484"
